wallet_id,score
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,989.36
0x06b51c6882b27cb05e712185531c1f74996dd988,361.7
0x0795732aacc448030ef374374eaae57d2965c16c,510.64
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,287.23
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,351.06
0x104ae61d8d487ad689969a17807ddc338b445416,542.55
0x111c7208a7e2af345d36b6d4aace8740d61a3078,617.02
0x124853fecb522c57d9bd5c21231058696ca6d596,776.6
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,372.34
0x19df3e87f73c4aaf4809295561465b993e102668,446.81
0x1ab2ccad4fc97c9968ea87d4435326715be32872,340.43
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,851.06
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,95.74
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,436.17
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,531.91
0x27f72a000d8e9f324583f3a3491ea66998275b28,223.4
0x2844658bf341db96aa247259824f42025e3bcec2,500.0
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,31.91
0x330513970efd9e8dd606275fb4c50378989b3204,872.34
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,585.11
0x3867d222ba91236ad4d12c31056626f9e798629c,191.49
0x3a44be4581137019f83021eeee72b7dc57756069,329.79
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,234.04
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,978.72
0x4814be124d7fe3b240eb46061f7ddfab468fe122,968.09
0x4839e666e2baf12a51bf004392b35972eeddeabf,861.7
0x4c4d05fe859279c91b074429b5fc451182cec745,553.19
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,765.96
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,478.72
0x4e61251336c32e4fe6bfd5fab014846599321389,468.09
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,117.02
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,712.77
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,276.6
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,74.47
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,563.83
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,180.85
0x58d68d4bcf9725e40353379cec92b90332561683,936.17
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,244.68
0x612a3500559be7be7703de6dc397afb541a16f7f,904.26
0x623af911f493747c216ad389c7805a37019c662d,893.62
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,255.32
0x6d69ca3711e504658977367e13c300ab198379f1,202.13
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,648.94
0x70c1864282599a762c674dd9d567b37e13bce755,212.77
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,957.45
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,393.62
0x767055590c73b7d2aaa6219da13807c493f91a20,127.66
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,489.36
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,659.57
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,606.38
0x7de76a449cf60ea3e111ff18b28e516d89532152,138.3
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,670.21
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,159.57
0x83ea74c67d393c6894c34c464657bda2183a2f1a,63.83
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,702.13
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,319.15
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,42.55
0x880a0af12da55df1197f41697c1a1b61670ed410,819.15
0x8aaece100580b749a20f8ce30338c4e0770b65ed,382.98
0x8be38ea2b22b706aef313c2de81f7d179024dd30,925.53
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,170.21
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,734.04
0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,840.43
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,148.94
0x9a363adc5d382c04d36b09158286328f75672098,10.64
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,595.74
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,914.89
0x9e6ec4e98793970a1307262ba68d37594e58cd78,691.49
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,882.98
0xa98dc64bb42575efec7d1e4560c029231ce5da51,265.96
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,787.23
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,106.38
0xb57297c5d02def954794e593db93d0a302e43e5c,744.68
0xbd4a00764217c13a246f86db58d74541a0c3972a,829.79
0xc179d55f7e00e789915760f7d260a1bf6285278b,638.3
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,680.85
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,946.81
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,755.32
0xcf0033bf27804640e5339e06443e208db5870dd2,297.87
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,414.89
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,53.19
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,723.4
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,425.53
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,797.87
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,308.51
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,627.66
0xebb8629e8a3ec86cf90cb7600264415640834483,808.51
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,574.47
0xf10fd8921019615a856c1e95c7cd3632de34edc4,21.28
0xf340b9f2098f80b86fbc5ede586c319473aa11f3,1000.0
0xf54f36bca969800fd7d63a68029561309938c09b,457.45
0xf67e8e5805835465f7eba988259db882ab726800,521.28
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,85.11
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,404.26
